Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2046-01-01 00:00:00,46.38,52.25,55.62,54.81
2046-01-01 01:00:00,45.16,50.7,54.18,55.17
2046-01-01 02:00:00,44.33,49.77,53.17,55.04
2046-01-01 03:00:00,43.65,49.03,52.45,54.54
2046-01-01 04:00:00,43.05,48.43,51.91,53.89
2046-01-01 05:00:00,42.53,47.98,51.46,53.08
2046-01-01 06:00:00,42.12,47.61,51.06,52.43
2046-01-01 07:00:00,41.79,47.21,50.59,51.85
2046-01-01 08:00:00,41.43,46.74,50.25,51.66
2046-01-01 09:00:00,41.07,46.2,49.91,51.55
2046-01-01 10:00:00,40.77,45.66,49.64,51.71
2046-01-01 11:00:00,40.57,45.23,49.33,51.53
2046-01-01 12:00:00,40.41,44.87,49.08,51.31
2046-01-01 13:00:00,40.62,44.4,48.72,50.88
2046-01-01 14:00:00,42.04,44.33,48.78,50.72
2046-01-01 15:00:00,44.62,44.89,49.23,50.86
2046-01-01 16:00:00,47.41,46.78,50.86,52.3
2046-01-01 17:00:00,50.11,49.32,53.31,54.28
2046-01-01 18:00:00,52.09,50.86,54.63,55.0
2046-01-01 19:00:00,53.44,52.09,55.74,56.05
2046-01-01 20:00:00,53.98,52.66,56.03,56.32
2046-01-01 21:00:00,53.29,53.02,56.26,57.02
2046-01-01 22:00:00,51.31,52.75,55.81,55.96
2046-01-01 23:00:00,49.73,51.78,54.95,54.52
2046-01-02 00:00:00,48.47,50.4,54.12,53.67
2046-01-02 01:00:00,47.55,48.9,52.88,52.66
2046-01-02 02:00:00,46.94,48.29,52.52,52.27
2046-01-02 03:00:00,46.56,48.02,52.63,52.3
2046-01-02 04:00:00,46.38,47.82,52.72,51.96
2046-01-02 05:00:00,46.2,47.68,52.81,51.78
2046-01-02 06:00:00,46.17,47.59,52.9,51.75
2046-01-02 07:00:00,46.15,47.46,52.97,51.71
2046-01-02 08:00:00,46.04,47.21,52.88,51.69
2046-01-02 09:00:00,45.91,46.99,52.84,51.87
2046-01-02 10:00:00,45.79,46.78,52.77,52.11
2046-01-02 11:00:00,45.72,46.63,52.72,52.48
2046-01-02 12:00:00,45.57,46.45,52.7,52.74
2046-01-02 13:00:00,45.7,46.29,52.63,52.99
2046-01-02 14:00:00,46.76,46.2,52.63,53.42
2046-01-02 15:00:00,48.58,46.51,52.63,53.8
2046-01-02 16:00:00,50.54,48.16,53.28,54.21
2046-01-02 17:00:00,52.23,50.25,54.16,54.9
2046-01-02 18:00:00,53.35,51.93,54.86,54.99
2046-01-02 19:00:00,53.98,53.08,55.22,55.08
2046-01-02 20:00:00,54.14,53.92,55.56,55.92
2046-01-02 21:00:00,53.69,54.3,55.63,55.78
2046-01-02 22:00:00,52.86,53.96,55.08,54.32
2046-01-02 23:00:00,51.49,52.92,54.28,53.31
2046-01-03 00:00:00,49.98,51.1,53.33,52.54
2046-01-03 01:00:00,48.97,49.59,52.29,51.93
2046-01-03 02:00:00,48.27,48.63,51.46,51.49
2046-01-03 03:00:00,47.68,47.82,50.61,50.59
2046-01-03 04:00:00,47.1,46.92,49.55,49.51
2046-01-03 05:00:00,46.58,46.29,48.69,48.74
2046-01-03 06:00:00,46.09,45.72,48.13,48.38
2046-01-03 07:00:00,45.63,45.14,47.71,48.0
2046-01-03 08:00:00,45.18,44.56,47.16,47.43
2046-01-03 09:00:00,44.74,44.11,46.74,47.32
2046-01-03 10:00:00,44.31,43.61,46.29,46.92
2046-01-03 11:00:00,43.95,43.18,45.9,46.53
2046-01-03 12:00:00,43.57,42.78,45.59,46.26
2046-01-03 13:00:00,43.32,42.44,45.34,45.88
2046-01-03 14:00:00,43.83,42.19,45.27,45.68
2046-01-03 15:00:00,45.03,42.17,45.01,45.28
2046-01-03 16:00:00,47.12,44.42,47.1,47.73
2046-01-03 17:00:00,49.15,47.8,50.88,51.57
2046-01-03 18:00:00,50.76,50.49,53.8,54.03
2046-01-03 19:00:00,51.85,52.38,55.89,55.96
2046-01-03 20:00:00,52.45,53.67,57.4,57.58
2046-01-03 21:00:00,52.43,54.39,58.33,58.64
2046-01-03 22:00:00,51.55,54.25,58.35,58.8
2046-01-03 23:00:00,49.66,53.24,57.49,58.08
2046-01-04 00:00:00,47.68,50.77,55.54,56.07
2046-01-04 01:00:00,46.27,48.29,52.57,52.54
2046-01-04 02:00:00,45.34,47.08,51.35,51.26
2046-01-04 03:00:00,44.58,46.44,50.88,50.77
2046-01-04 04:00:00,43.9,45.99,50.61,50.4
2046-01-04 05:00:00,43.29,45.66,50.41,50.04
2046-01-04 06:00:00,42.82,45.43,50.25,49.87
2046-01-04 07:00:00,42.42,45.23,50.18,50.04
2046-01-04 08:00:00,42.06,44.96,50.11,50.25
2046-01-04 09:00:00,41.74,44.83,50.22,50.63
2046-01-04 10:00:00,41.4,44.64,50.23,50.94
2046-01-04 11:00:00,41.04,44.37,50.09,51.01
2046-01-04 12:00:00,40.69,44.24,50.07,51.37
2046-01-04 13:00:00,40.66,44.04,50.0,51.55
2046-01-04 14:00:00,42.01,43.79,49.86,51.53
2046-01-04 15:00:00,44.49,44.01,49.91,51.58
2046-01-04 16:00:00,47.26,46.15,52.03,54.23
2046-01-04 17:00:00,49.98,49.89,56.01,58.35
2046-01-04 18:00:00,52.12,53.4,59.63,61.54
2046-01-04 19:00:00,53.47,55.92,62.06,63.45
2046-01-04 20:00:00,54.12,57.7,63.79,64.71
2046-01-04 21:00:00,53.82,58.75,64.89,65.34
2046-01-04 22:00:00,52.05,58.89,65.19,65.48
2046-01-04 23:00:00,49.84,57.96,64.53,65.05
2046-01-05 00:00:00,47.71,55.17,62.35,63.1
2046-01-05 01:00:00,46.06,51.71,58.14,59.36
2046-01-05 02:00:00,45.16,50.58,56.86,58.37
2046-01-05 03:00:00,44.51,49.96,56.23,58.01
2046-01-05 04:00:00,44.04,49.53,55.96,57.72
2046-01-05 05:00:00,43.63,49.14,55.74,57.58
2046-01-05 06:00:00,43.16,48.78,55.56,57.54
2046-01-05 07:00:00,42.78,48.51,55.45,57.54
2046-01-05 08:00:00,42.46,48.29,55.33,57.42
2046-01-05 09:00:00,42.13,48.02,55.13,57.18
2046-01-05 10:00:00,41.81,47.84,55.06,56.97
2046-01-05 11:00:00,41.5,47.61,54.84,56.66
2046-01-05 12:00:00,41.2,47.41,54.61,56.39
2046-01-05 13:00:00,41.16,47.26,54.46,56.25
2046-01-05 14:00:00,42.22,47.08,54.34,56.25
2046-01-05 15:00:00,44.33,47.32,54.28,56.25
2046-01-05 16:00:00,46.69,49.86,56.52,58.87
2046-01-05 17:00:00,48.87,53.46,60.33,62.44
2046-01-05 18:00:00,50.45,56.64,63.79,65.59
2046-01-05 19:00:00,51.39,59.05,66.33,68.02
2046-01-05 20:00:00,51.6,60.57,67.95,69.58
2046-01-05 21:00:00,51.1,61.41,68.85,70.48
2046-01-05 22:00:00,49.59,61.52,68.99,70.59
2046-01-05 23:00:00,47.71,60.58,68.27,70.02
2046-01-06 00:00:00,45.61,57.6,65.53,67.73
2046-01-06 01:00:00,43.88,54.61,61.72,64.38
2046-01-06 02:00:00,42.76,53.37,60.4,63.5
2046-01-06 03:00:00,41.94,52.66,59.7,62.96
2046-01-06 04:00:00,41.27,52.23,59.29,62.6
2046-01-06 05:00:00,40.75,51.89,58.96,62.01
2046-01-06 06:00:00,40.32,51.51,58.57,61.29
2046-01-06 07:00:00,39.96,51.21,58.19,60.84
2046-01-06 08:00:00,39.49,50.94,57.87,60.49
2046-01-06 09:00:00,38.95,50.74,57.61,60.12
2046-01-06 10:00:00,38.34,50.56,57.34,59.67
2046-01-06 11:00:00,37.71,50.25,56.97,59.2
2046-01-06 12:00:00,37.09,49.95,56.52,58.78
2046-01-06 13:00:00,36.79,49.6,55.98,58.32
2046-01-06 14:00:00,37.63,49.26,55.44,57.79
2046-01-06 15:00:00,39.38,49.48,55.15,57.61
2046-01-06 16:00:00,41.7,52.16,57.49,60.12
2046-01-06 17:00:00,43.79,55.76,61.3,64.17
2046-01-06 18:00:00,45.46,59.07,64.98,67.98
2046-01-06 19:00:00,46.51,61.48,67.6,70.52
2046-01-06 20:00:00,46.94,63.0,69.3,72.12
2046-01-06 21:00:00,46.63,63.79,70.23,73.06
2046-01-06 22:00:00,45.27,63.86,70.38,73.18
2046-01-06 23:00:00,42.93,62.71,69.37,72.19
2046-01-07 00:00:00,40.59,59.43,66.07,68.9
2046-01-07 01:00:00,38.71,55.72,60.96,63.86
2046-01-07 02:00:00,37.54,54.05,58.91,62.26
2046-01-07 03:00:00,36.73,53.08,57.88,61.43
2046-01-07 04:00:00,36.05,52.41,57.31,60.87
2046-01-07 05:00:00,35.51,51.96,56.89,60.24
2046-01-07 06:00:00,35.06,51.57,56.57,59.81
2046-01-07 07:00:00,34.66,51.24,56.3,59.59
2046-01-07 08:00:00,34.25,50.83,55.81,58.75
2046-01-07 09:00:00,33.87,50.43,55.24,57.63
2046-01-07 10:00:00,33.57,50.04,54.68,56.71
2046-01-07 11:00:00,33.31,49.69,54.19,55.99
2046-01-07 12:00:00,33.08,49.32,53.62,54.81
2046-01-07 13:00:00,33.3,48.87,53.08,53.64
2046-01-07 14:00:00,35.38,48.4,52.57,52.74
2046-01-07 15:00:00,38.37,48.31,52.12,51.82
2046-01-07 16:00:00,41.67,50.72,54.37,54.82
2046-01-07 17:00:00,44.67,54.1,57.85,59.05
2046-01-07 18:00:00,47.05,56.82,60.66,62.11
2046-01-07 19:00:00,48.63,58.48,62.24,63.7
2046-01-07 20:00:00,49.51,59.09,62.8,64.35
2046-01-07 21:00:00,49.3,59.27,63.0,64.47
2046-01-07 22:00:00,47.25,58.91,62.8,64.15
2046-01-07 23:00:00,44.49,57.79,62.04,63.48
2046-01-08 00:00:00,42.24,55.31,60.21,61.77
2046-01-08 01:00:00,40.57,51.71,55.51,56.82
2046-01-08 02:00:00,39.6,50.0,53.6,55.27
2046-01-08 03:00:00,38.93,49.05,52.72,54.48
2046-01-08 04:00:00,38.41,48.29,52.18,53.74
2046-01-08 05:00:00,37.94,47.75,51.84,53.28
2046-01-08 06:00:00,37.6,47.25,51.37,52.93
2046-01-08 07:00:00,37.26,46.81,50.99,52.83
2046-01-08 08:00:00,36.93,46.27,50.52,52.57
2046-01-08 09:00:00,36.68,45.68,50.04,52.27
2046-01-08 10:00:00,36.45,45.19,49.66,52.02
2046-01-08 11:00:00,36.34,44.76,49.39,51.75
2046-01-08 12:00:00,36.3,44.35,49.12,51.71
2046-01-08 13:00:00,36.72,43.93,48.78,51.8
2046-01-08 14:00:00,38.88,43.45,48.34,51.84
2046-01-08 15:00:00,42.46,43.36,48.02,51.84
2046-01-08 16:00:00,46.27,46.02,50.77,55.04
2046-01-08 17:00:00,49.59,49.44,54.43,59.13
2046-01-08 18:00:00,52.0,52.21,57.34,62.19
2046-01-08 19:00:00,53.51,54.3,59.61,64.22
2046-01-08 20:00:00,54.14,55.63,61.21,65.43
2046-01-08 21:00:00,53.64,56.41,62.29,66.16
2046-01-08 22:00:00,51.3,56.34,62.49,66.02
2046-01-08 23:00:00,48.96,55.42,61.79,65.16
2046-01-09 00:00:00,46.94,53.08,59.97,63.19
2046-01-09 01:00:00,45.03,48.85,54.61,57.79
2046-01-09 02:00:00,43.99,47.21,52.81,56.12
2046-01-09 03:00:00,43.41,46.35,51.98,55.22
2046-01-09 04:00:00,43.07,45.82,51.48,54.75
2046-01-09 05:00:00,42.75,45.28,50.97,54.23
2046-01-09 06:00:00,42.46,44.82,50.49,53.56
2046-01-09 07:00:00,42.19,44.35,50.0,52.95
2046-01-09 08:00:00,41.99,43.83,49.44,52.39
2046-01-09 09:00:00,41.88,43.34,49.01,52.0
2046-01-09 10:00:00,41.61,42.98,48.78,51.84
2046-01-09 11:00:00,41.32,42.71,48.58,51.64
2046-01-09 12:00:00,41.05,42.39,48.38,51.44
2046-01-09 13:00:00,41.14,42.04,48.07,51.26
2046-01-09 14:00:00,42.46,41.61,47.57,50.56
2046-01-09 15:00:00,44.69,41.58,47.14,49.96
2046-01-09 16:00:00,47.53,44.22,49.78,52.43
2046-01-09 17:00:00,50.25,47.79,54.03,55.94
2046-01-09 18:00:00,52.27,50.56,57.4,59.11
2046-01-09 19:00:00,53.6,52.63,59.83,61.34
2046-01-09 20:00:00,54.25,54.0,61.34,62.74
2046-01-09 21:00:00,53.89,54.86,62.35,63.93
2046-01-09 22:00:00,52.18,55.11,62.67,64.51
2046-01-09 23:00:00,49.71,54.48,62.08,64.0
2046-01-10 00:00:00,47.71,52.12,60.1,62.08
2046-01-10 01:00:00,45.93,48.45,55.13,57.96
2046-01-10 02:00:00,44.76,46.89,53.11,55.96
2046-01-10 03:00:00,43.86,45.97,51.98,54.97
2046-01-10 04:00:00,43.02,45.28,51.17,54.23
2046-01-10 05:00:00,42.31,44.85,50.59,53.73
2046-01-10 06:00:00,41.63,44.46,50.04,53.28
2046-01-10 07:00:00,40.98,44.06,49.46,52.68
2046-01-10 08:00:00,40.42,43.79,49.01,52.18
2046-01-10 09:00:00,39.85,43.54,48.63,51.76
