Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2086-01-01 00:00:00,48.69,54.66,57.96,57.33
2086-01-01 01:00:00,47.59,53.24,56.57,57.6
2086-01-01 02:00:00,46.76,52.27,55.54,57.36
2086-01-01 03:00:00,45.99,51.53,54.84,56.91
2086-01-01 04:00:00,45.39,50.95,54.36,56.14
2086-01-01 05:00:00,44.89,50.5,53.85,55.26
2086-01-01 06:00:00,44.51,50.11,53.42,54.54
2086-01-01 07:00:00,44.24,49.75,53.06,54.16
2086-01-01 08:00:00,43.9,49.26,52.68,53.89
2086-01-01 09:00:00,43.54,48.74,52.36,53.83
2086-01-01 10:00:00,43.21,48.22,52.09,53.91
2086-01-01 11:00:00,43.0,47.77,51.78,53.76
2086-01-01 12:00:00,42.82,47.41,51.51,53.49
2086-01-01 13:00:00,43.0,46.96,51.17,53.1
2086-01-01 14:00:00,44.4,46.85,51.17,52.95
2086-01-01 15:00:00,47.03,47.34,51.53,52.9
2086-01-01 16:00:00,50.13,49.44,53.38,54.54
2086-01-01 17:00:00,52.84,51.89,55.8,56.62
2086-01-01 18:00:00,54.86,53.64,57.52,58.21
2086-01-01 19:00:00,56.3,54.95,58.68,59.07
2086-01-01 20:00:00,56.84,55.6,58.96,59.34
2086-01-01 21:00:00,56.16,55.81,58.86,58.96
2086-01-01 22:00:00,54.07,55.27,57.85,57.2
2086-01-01 23:00:00,52.34,54.32,56.97,55.96
2086-01-02 00:00:00,50.9,52.74,55.98,55.0
2086-01-02 01:00:00,50.02,51.35,54.99,54.18
2086-01-02 02:00:00,49.41,50.83,54.91,54.16
2086-01-02 03:00:00,49.06,50.63,55.17,54.36
2086-01-02 04:00:00,48.81,50.4,55.29,54.23
2086-01-02 05:00:00,48.63,50.18,55.31,54.12
2086-01-02 06:00:00,48.49,50.02,55.33,54.03
2086-01-02 07:00:00,48.4,49.93,55.4,54.05
2086-01-02 08:00:00,48.31,49.66,55.27,53.98
2086-01-02 09:00:00,48.16,49.41,55.2,54.19
2086-01-02 10:00:00,48.11,49.23,55.13,54.54
2086-01-02 11:00:00,48.07,49.14,55.17,54.97
2086-01-02 12:00:00,47.97,48.97,55.13,55.26
2086-01-02 13:00:00,48.06,48.81,55.11,55.71
2086-01-02 14:00:00,49.12,48.7,55.08,56.1
2086-01-02 15:00:00,51.08,49.19,55.22,56.57
2086-01-02 16:00:00,52.99,50.79,55.85,57.07
2086-01-02 17:00:00,54.61,52.75,56.57,57.52
2086-01-02 18:00:00,55.74,54.21,57.04,57.43
2086-01-02 19:00:00,56.44,55.36,57.36,57.61
