Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2086-01-01 00:00:00,49.87,55.26,58.33,57.58
2086-01-01 01:00:00,48.78,53.83,56.89,57.9
2086-01-01 02:00:00,47.91,52.9,55.92,57.83
2086-01-01 03:00:00,47.19,52.14,55.24,57.43
2086-01-01 04:00:00,46.62,51.55,54.77,56.91
2086-01-01 05:00:00,46.08,51.06,54.34,56.16
2086-01-01 06:00:00,45.64,50.67,53.92,55.49
2086-01-01 07:00:00,45.3,50.31,53.46,54.86
2086-01-01 08:00:00,44.94,49.78,53.06,54.45
2086-01-01 09:00:00,44.55,49.26,52.72,54.28
2086-01-01 10:00:00,44.19,48.72,52.38,54.09
2086-01-01 11:00:00,43.97,48.33,52.16,53.98
2086-01-01 12:00:00,43.72,47.89,51.89,53.62
2086-01-01 13:00:00,43.84,47.48,51.49,53.22
2086-01-01 14:00:00,45.14,47.32,51.44,53.02
2086-01-01 15:00:00,47.88,47.7,51.69,53.13
2086-01-01 16:00:00,51.01,49.8,53.62,54.81
2086-01-01 17:00:00,53.87,52.54,56.39,57.09
2086-01-01 18:00:00,55.99,54.39,58.15,58.84
2086-01-01 19:00:00,57.38,55.71,59.36,59.94
2086-01-01 20:00:00,57.88,56.28,59.58,59.83
2086-01-01 21:00:00,57.43,56.44,59.34,59.25
2086-01-01 22:00:00,55.22,55.98,58.53,58.15
2086-01-01 23:00:00,53.46,55.09,57.79,57.65
2086-01-02 00:00:00,51.93,53.46,56.66,56.26
2086-01-02 01:00:00,50.97,51.98,55.51,55.17
2086-01-02 02:00:00,50.34,51.4,55.22,54.72
2086-01-02 03:00:00,49.96,51.19,55.42,54.82
2086-01-02 04:00:00,49.69,50.99,55.56,54.64
2086-01-02 05:00:00,49.48,50.74,55.56,54.43
2086-01-02 06:00:00,49.33,50.59,55.58,54.41
2086-01-02 07:00:00,49.21,50.43,55.6,54.34
2086-01-02 08:00:00,49.06,50.14,55.47,54.23
2086-01-02 09:00:00,48.9,49.91,55.44,54.43
2086-01-02 10:00:00,48.79,49.73,55.44,54.66
2086-01-02 11:00:00,48.7,49.59,55.45,55.09
2086-01-02 12:00:00,48.54,49.39,55.4,55.35
2086-01-02 13:00:00,48.67,49.23,55.31,55.62
