Time_UTC,US_T2_F,WECC_T2_F,CA_T2_F,LA_T2_F
2086-01-01 00:00:00,46.8,52.77,56.14,55.53
2086-01-01 01:00:00,45.73,51.28,54.7,55.81
2086-01-01 02:00:00,44.91,50.29,53.64,55.63
2086-01-01 03:00:00,44.19,49.53,52.9,55.13
2086-01-01 04:00:00,43.54,48.88,52.29,54.34
2086-01-01 05:00:00,43.11,48.47,51.87,53.71
2086-01-01 06:00:00,42.73,48.09,51.48,53.13
2086-01-01 07:00:00,42.4,47.66,51.01,52.54
2086-01-01 08:00:00,42.03,47.16,50.58,52.27
2086-01-01 09:00:00,41.61,46.54,50.13,51.93
2086-01-01 10:00:00,41.27,46.04,49.87,51.8
2086-01-01 11:00:00,41.0,45.64,49.66,51.76
2086-01-01 12:00:00,40.73,45.25,49.35,51.31
2086-01-01 13:00:00,40.8,44.85,48.99,50.9
2086-01-01 14:00:00,42.26,44.71,49.03,50.74
2086-01-01 15:00:00,44.91,45.12,49.32,50.99
2086-01-01 16:00:00,48.0,47.21,51.15,52.5
2086-01-01 17:00:00,50.74,49.71,53.64,54.59
2086-01-01 18:00:00,52.83,51.4,55.13,55.53
2086-01-01 19:00:00,54.16,52.61,56.17,56.62
2086-01-01 20:00:00,54.7,53.22,56.52,57.02
2086-01-01 21:00:00,54.3,53.6,56.77,57.43
2086-01-01 22:00:00,51.96,53.22,56.17,56.25
2086-01-01 23:00:00,50.32,52.25,55.33,55.09
2086-01-02 00:00:00,48.96,50.77,54.43,54.28
2086-01-02 01:00:00,47.98,49.3,53.13,53.31
2086-01-02 02:00:00,47.41,48.7,52.83,52.77
2086-01-02 03:00:00,47.08,48.51,53.01,52.83
2086-01-02 04:00:00,46.87,48.29,53.1,52.5
2086-01-02 05:00:00,46.71,48.16,53.19,52.3
2086-01-02 06:00:00,46.62,48.06,53.24,52.18
2086-01-02 07:00:00,46.53,47.86,53.24,52.03
2086-01-02 08:00:00,46.42,47.59,53.13,51.96
2086-01-02 09:00:00,46.29,47.35,53.04,52.07
2086-01-02 10:00:00,46.15,47.1,52.95,52.25
2086-01-02 11:00:00,46.02,46.96,52.95,52.56
2086-01-02 12:00:00,45.95,46.85,52.97,52.9
2086-01-02 13:00:00,46.08,46.71,52.92,53.13
2086-01-02 14:00:00,47.14,46.6,52.9,53.64
2086-01-02 15:00:00,49.01,46.9,52.95,54.03
2086-01-02 16:00:00,51.03,48.79,53.83,54.88
2086-01-02 17:00:00,52.68,50.85,54.73,55.51
2086-01-02 18:00:00,53.8,52.43,55.36,55.81
2086-01-02 19:00:00,54.45,53.58,55.76,56.12
2086-01-02 20:00:00,54.63,54.43,56.07,56.66
2086-01-02 21:00:00,54.28,54.82,56.08,56.34
2086-01-02 22:00:00,53.47,54.54,55.53,54.75
2086-01-02 23:00:00,52.09,53.58,54.9,53.78
2086-01-03 00:00:00,50.63,51.73,53.89,52.97
2086-01-03 01:00:00,49.64,50.16,52.81,52.5
